type,carpark,period,day_of_week,Means,Covariances,Weights
white,CP3A,School,Tuesday,"[123.99997155409069, 63.99999999999993]","[384.8015253206494, 1e-06]","[0.9259263649062155, 0.07407363509378452]"
white,CP3A,School,Wednesday,[132.37037037037035],[444.15912308504795],[1.0]
white,CP4,Exam,Friday,"[125.99999999999972, 186.99999999999957, 85.99999999999982, 101.99999999999977, 121.99999999999973]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP4,Exam,Monday,"[118.99999999999973, 187.99999999999957, 61.999999999999865, 91.9999999999998, 130.99999999999972]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP4,Exam,Saturday,"[79.99999999999983, 158.99999999999966, 120.99999999999973, 56.99999999999987, 93.99999999999979, 97.99999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
white,CP4,Exam,Sunday,"[39.99999999999996, 58.999999999999936, 46.99999999999989, 53.99999999999988]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.3333333333333332, 0.3333333333333332, 0.1666666666666668, 0.1666666666666668]"
white,CP4,Exam,Thursday,"[76.99999999999983, 202.99999999999955, 126.99999999999972, 106.99999999999976, 97.99999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP4,Exam,Tuesday,"[69.99999999999984, 207.99999999999955, 97.99999999999979, 84.99999999999982, 107.99999999999976]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP4,Exam,Wednesday,"[89.9999999999998, 137.9999999999997, 192.99999999999957, 123.99999999999973, 94.99999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
white,CP4,Holiday,Friday,"[55.930175982450365, 92.68236936434285, 168.99999999999963, 19.999999999999957, 125.99999999999972, 34.21039940075322]","[100.04623081407672, 54.490961819959985, 1e-06, 1e-06, 1e-06, 3.1833754140323003]","[0.37107135673177905, 0.34785293533539635, 0.04166666666666675, 0.0416666154584024, 0.041666664261438946, 0.15607576154631664]"
white,CP4,Holiday,Monday,"[91.75909393173781, 44.98014199987425, 170.99999999999963]","[68.83450036061761, 211.02321586306437, 1e-06]","[0.2931798643694541, 0.6633418747609806, 0.043478260869565306]"
white,CP4,Holiday,Saturday,"[87.16696919793566, 32.83702842365293, 133.49999999999986, 192.99999999999957, 104.99999999999977, 51.036334482474544]","[11.472565787979665, 9.27097887916713, 2.2500009999999975, 1e-06, 1e-06, 69.18197577899083]","[0.2307422617900427, 0.31395498050412585, 0.07692307692307696, 0.03846153846153852, 0.03846153839636346, 0.3014566039248524]"
white,CP4,Holiday,Sunday,"[18.416662726199263, 271.9999999999994, 86.07513587281359, 144.99999999999966, 54.000465530066265]","[12.743040307876523, 1e-06, 161.55162103748984, 1e-06, 28.64462050766364]","[0.44444413921273945, 0.0370370370370371, 0.23093531759394637, 0.037037036718266046, 0.2505464694380109]"
white,CP4,Holiday,Thursday,"[85.25596683675778, 128.99999999999972, 66.75949283209029, 183.9999999999996, 45.114185182530974]","[92.31089960024953, 1e-06, 40.95116562326838, 1e-06, 29.46956250165526]","[0.3723522434371895, 0.04166666544363569, 0.1535412640573877, 0.041666666666666734, 0.39077316039512033]"
white,CP4,Holiday,Tuesday,"[98.19255495919641, 42.69115767301229, 176.9999999999996, 79.66813721034711, 138.99962335264524]","[10.83919665208992, 97.12430139243946, 1e-06, 19.805402941179214, 64.01303389993762]","[0.20784230302441906, 0.459109004606647, 0.04166666653508104, 0.20804782793418458, 0.08333419789966826]"
white,CP4,Holiday,Wednesday,"[46.493958685741575, 94.7679927363217, 228.9999999999995, 164.99999999999963]","[126.42743566909569, 213.9224010836857, 1e-06, 1e-06]","[0.4590941505052847, 0.45757251646106417, 0.04166666666666674, 0.041666666366984295]"
white,CP4,School,Friday,[134.07142857142856],[1400.8520418163266],[1.0]
white,CP4,School,Monday,[130.07407407407405],[1528.7352547722908],[1.0]
white,CP4,School,Saturday,[95.39999999999999],[2265.7600009999996],[1.0]
white,CP4,School,Sunday,[59.8695652173913],[304.9829877674858],[1.0]
white,CP4,School,Thursday,[139.18518518518516],[968.2990407805211],[1.0]
white,CP4,School,Tuesday,[136.37037037037035],[1524.0109749368996],[1.0]
white,CP4,School,Wednesday,[144.25925925925924],[1093.2290819327848],[1.0]
white,CP5,Exam,Friday,"[81.99999999999982, 144.9999999999997, 109.99999999999976, 74.99999999999983]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
white,CP5,Exam,Monday,"[193.99999999999957, 37.999999999999915, 106.99999999999976, 233.9999999999995]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
white,CP5,Exam,Saturday,"[140.9999999999997, 244.99999999999946, 155.99999999999966, 137.9999999999997]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
white,CP5,Exam,Sunday,"[35.99999999999992, 55.99999999999988, 42.99999999999991, 32.99999999999993]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
white,CP5,Exam,Thursday,"[120.99999999999973, 248.99999999999946, 78.99999999999983, 121.99999999999973]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
white,CP5,Exam,Tuesday,"[188.99999999999957, 34.99999999999992, 137.9999999999997, 212.99999999999952]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
white,CP5,Exam,Wednesday,"[119.99999999999973, 246.99999999999946, 179.9999999999996, 120.99999999999973]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
white,CP5,Holiday,Friday,"[90.31138989943821, 136.50318429151312, 2.4999999999999973]","[96.97041404429243, 30.25081735160665, 0.2500009999999997]","[0.764775206195666, 0.11757773498080447, 0.1176470588235295]"
white,CP5,Holiday,Monday,[89.70588235294116],[696.3252605155708],[1.0]
white,CP5,Holiday,Saturday,"[316.9999999999993, 83.09877453762338, 163.00002521158473, 107.9205306804179, 62.999999999999865]","[1e-06, 27.321020161920785, 4.000000999364372, 144.33682143507292, 1e-06]","[0.06250000000000008, 0.473486674899533, 0.12499756982715679, 0.2765158325686813, 0.06249992270462881]"
white,CP5,Holiday,Sunday,"[157.9999999999088, 49.826608109614035, 104.79513081832594, 84.27827473320532, 1.9999999999999956, 145.9999999999997]","[4.000001001066099, 63.65441532508633, 45.996755021653705, 28.327136722007477, 1e-06, 1e-06]","[0.10526315789551871, 0.26340043449632267, 0.20841136637820948, 0.3176618833368136, 0.052631578946849555, 0.052631578946286145]"
white,CP5,Holiday,Thursday,"[55.99999999999987, 107.66721699491636, 172.9999999999996, 82.81957377988287, 8.99999999999998]","[1e-06, 6.222173430729577, 1e-06, 28.90550049961918, 1e-06]","[0.05882352893653505, 0.17643043108286455, 0.05882352941176479, 0.6470989811570707, 0.05882352941176479]"
white,CP5,Holiday,Tuesday,"[77.34560344792335, 112.22500520677792, 147.99999999999966]","[85.9992472722775, 20.58270291639766, 1e-06]","[0.6486216268465193, 0.2925548437417159, 0.0588235294117648]"
white,CP5,Holiday,Wednesday,"[103.0974604422558, 150.99999999999966, 62.99999999999986, 125.99999999999972, 79.49962114860111, 118.0079557059692]","[29.724934853448026, 1e-06, 1e-06, 1e-06, 2.250000856472022, 0.6633434077537502]","[0.5330556875647969, 0.05882352941176479, 0.05882352941176463, 0.058823515030505445, 0.11761130741029469, 0.1728624311708735]"
white,CP5,School,Friday,"[151.22636610623186, 36.999999999999915, 108.0060348350605, 193.99999999999957, 215.99999999999952, 174.78164947675117]","[78.14991346014142, 1e-06, 62.894776810791626, 1e-06, 1e-06, 13.475580581777061]","[0.318823319538263, 0.06250000000000008, 0.24990584731329013, 0.06249999968209963, 0.06250000000000003, 0.24377083346634712]"
