type,carpark,period,day_of_week,Means,Covariances,Weights
red,CP3,Exam,Friday,"[12.999999999999972, 10.999999999999988, 15.999999999999964, 9.999999999999979]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.2000000000000001, 0.39999999999999974, 0.2000000000000001, 0.2000000000000001]"
red,CP3,Exam,Monday,"[16.99999999999996, 11.999999999999973, 5.999999999999987, 13.99999999999997, 12.999999999999972]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP3,Exam,Saturday,"[8.99999999999999, 5.999999999999987, 1.9999999999999956, 10.999999999999975, 6.999999999999985]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.3333333333333331, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674]"
red,CP3,Exam,Sunday,"[1.9999999999999956, 0.9999999999999992, 2.999999999999997]","[1e-06, 1e-06, 1e-06]","[0.16666666666666685, 0.4999999999999998, 0.3333333333333333]"
red,CP3,Exam,Thursday,"[13.99999999999997, 9.999999999999993, 5.999999999999987]","[1e-06, 1e-06, 1e-06]","[0.20000000000000015, 0.5999999999999996, 0.20000000000000015]"
red,CP3,Exam,Tuesday,"[9.999999999999979, 2.9999999999999933, 16.99999999999996, 6.999999999999985, 10.999999999999975]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP3,Exam,Wednesday,"[10.999999999999988, 5.999999999999987, 11.999999999999988]","[1e-06, 1e-06, 1e-06]","[0.39999999999999986, 0.20000000000000015, 0.39999999999999986]"
red,CP3,Holiday,Friday,[10.499999999999998],[19.833334333333333],[1.0]
red,CP3,Holiday,Monday,"[2.0000000565850287, 9.999999999999995, 20.999999999999954, 14.485460837177165, 8.630776655313166, 11.83990001104406]","[0.6666679420491167, 1e-06, 1e-06, 0.2785466542639297, 0.4967568111052809, 0.48912136605844864]","[0.1250000014146155, 0.16658425200270532, 0.04166666666666674, 0.08335068520399737, 0.3341289268140741, 0.249269467897941]"
red,CP3,Holiday,Saturday,"[14.999999999999966, 5.898195104382927, 36.999999999999915, 2.2854122243468953, 18.999999999999957, 10.251569104224261]","[1e-06, 0.7097361030602933, 1e-06, 0.4930638953427785, 1e-06, 0.6889537068352249]","[0.04166666665093149, 0.41748541542648293, 0.041666666666666734, 0.2911465986586588, 0.041666666666666734, 0.16636798593059332]"
red,CP3,Holiday,Sunday,"[2.6526047770935173, 8.499999981304477, 5.999999999999994, 0.9999999999999996, 13.99999999999997, 4.306135754165531]","[0.2787454172456915, 0.2500010449549008, 1e-06, 1e-06, 1e-06, 0.27074086560079264]","[0.3214008614779856, 0.08000000059679474, 0.07999796858844216, 0.2399958567621016, 0.040000000000000056, 0.2386053125746758]"
red,CP3,Holiday,Thursday,"[10.176216145547336, 16.27603319261919, 4.790660060255338, 23.999999999999947, 12.999999999999993]","[3.1356593207027754, 4.2848891845774455, 3.3371579431202694, 1e-06, 1e-06]","[0.2890934727269223, 0.15750239618431874, 0.3034728078242855, 0.04166659195109802, 0.2082647313133755]"
red,CP3,Holiday,Tuesday,"[13.999999999999984, 8.397452415191868, 19.666664645765326, 11.199553469762543, 5.500002369650959, 15.999999999999964]","[1e-06, 0.2525928290442588, 0.8888968091202999, 0.6669060246342114, 0.2500196850767851, 1e-06]","[0.08333213151332414, 0.2051117619165716, 0.125000068893366, 0.3782240595021748, 0.1666653804105611, 0.04166659776400238]"
red,CP3,Holiday,Wednesday,[10.541666666666664],[20.248264888888887],[1.0]
red,CP3,School,Friday,"[14.348479848080506, 23.500000983749068, 4.499999999999995, 18.749934017994043, 8.99999999999999, 12.28309955992886]","[0.3025968781647332, 0.25000100035389516, 0.2500009999999997, 0.6877685896032326, 1e-06, 0.7159563790028581]","[0.275009639470068, 0.07142843059885545, 0.07142857142857147, 0.1428599555909397, 0.07142836331148708, 0.36784503960007825]"
red,CP3,School,Monday,[13.740740740740739],[20.117970821673524],[1.0]
red,CP3,School,Saturday,"[2.2879553680791695, 8.952046622157122, 25.999999999999943]","[0.9351933679708914, 4.288697862375354, 1e-06]","[0.1851662455125804, 0.7748337544874195, 0.04000000000000007]"
red,CP3,School,Sunday,"[3.999999999999998, 1.9999999999999993, 6.4999666234049025, 0.9999999999999996, 2.9999999999999982, 4.999999999999995]","[1e-06, 1e-06, 0.2500455209386781, 1e-06, 1e-06, 1e-06]","[0.18181818113888648, 0.27272727272727265, 0.0909111133251676, 0.18181818181818177, 0.1818181818181776, 0.09090706917231378]"
red,CP3,School,Thursday,"[17.8020603625429, 12.99999999999999, 20.976739619538517, 14.624895193147045, 11.800033889773246, 15.999999999999982]","[0.5938595962021512, 1e-06, 0.5550782622664823, 0.2345316844123571, 0.16003797476382392, 1e-06]","[0.18447900224503977, 0.11110376536218886, 0.14899377618114448, 0.2961852160068821, 0.1851902944804117, 0.07404794572433322]"
red,CP3,School,Tuesday,"[12.000495044298452, 16.71030181751432, 1.4999999999999984, 13.99999999999999, 14.999999999999995]","[1.0044348887475356, 1.0747347352800642, 0.2500009999999997, 1e-06, 1e-06]","[0.29616058126961214, 0.25951099344931194, 0.07407407407407411, 0.185136622189284, 0.18511772901771784]"
red,CP3,School,Wednesday,"[20.220927455459957, 12.999999999999993, 17.211301655475612, 11.16711807516557, 15.07269623938587]","[0.7616594096896471, 1e-06, 0.39054097755470957, 0.47334359838206846, 0.2755532120302082]","[0.1493344581058141, 0.14813855736526307, 0.12135240552243283, 0.222260898838232, 0.35891368016825786]"
red,CP3A,Exam,Friday,"[26.99999999999994, 16.99999999999996, 12.999999999999972, 20.999999999999954, 15.999999999999964]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP3A,Exam,Monday,"[21.999999999999975, 41.99999999999991, 7.999999999999982, 27.99999999999994]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.39999999999999974, 0.2000000000000001, 0.2000000000000001, 0.2000000000000001]"
red,CP3A,Exam,Saturday,"[7.999999999999982, 16.99999999999996, 14.999999999999966, 8.99999999999998, 12.999999999999972, 9.999999999999979]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]"
red,CP3A,Exam,Sunday,"[11.999999999999973, 3.999999999999997, 1.9999999999999956, 4.999999999999989]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.1666666666666668, 0.4999999999999996, 0.1666666666666668, 0.1666666666666668]"
red,CP3A,Exam,Thursday,"[36.999999999999915, 12.999999999999972, 31.99999999999993, 14.999999999999966, 37.999999999999915]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP3A,Exam,Tuesday,"[38.99999999999996, 7.999999999999982, 19.999999999999957, 40.99999999999991]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.39999999999999974, 0.2000000000000001, 0.2000000000000001, 0.2000000000000001]"
red,CP3A,Exam,Wednesday,"[22.99999999999995, 41.99999999999991, 28.999999999999936, 25.999999999999943, 23.999999999999947]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP3A,Holiday,Friday,[17.499999999999996],[31.83333433333333],[1.0]
red,CP3A,Holiday,Monday,[17.833333333333332],[61.72222322222222],[1.0]
red,CP3A,Holiday,Saturday,"[7.181209472839122, 21.99999999999995, 11.999999999999991, 14.995881638675293, 4.999999999999997, 9.99999999999999]","[0.8757616139499208, 1e-06, 1e-06, 2.821812407188269, 1e-06, 1e-06]","[0.422993760385289, 0.03846151923045987, 0.11536125857647826, 0.19245033401388892, 0.15381626816909758, 0.07691685962478632]"
red,CP3A,Holiday,Sunday,"[6.9999999999999964, 3.4998829824857745, 15.999999999999964, 10.497743197054215]","[1e-06, 0.9646459956088337, 1e-06, 2.2619593732456917]","[0.22221138354008568, 0.518443454111224, 0.03703685281404731, 0.2223083095346431]"
red,CP3A,Holiday,Thursday,"[18.898830605656205, 24.999999999999986, 30.999999999999964, 13.513602754225378, 38.999999999999915, 23.060444896840913]","[2.332798381927857, 1e-06, 1e-06, 4.103353956850056, 1e-06, 0.49662728938766365]","[0.4124830203957302, 0.1666613154536958, 0.08333333333333337, 0.14328048688483902, 0.041666666666666734, 0.1525751772657348]"
red,CP3A,Holiday,Tuesday,[20.70833333333333],[26.956598222222222],[1.0]
red,CP3A,Holiday,Wednesday,"[20.7423312140103, 14.120330093309946, 29.999999999999964, 39.999999999999915, 25.634494662354044]","[1.6242247289214902, 2.416597544286221, 1e-06, 1e-06, 1.2588640913907008]","[0.37372519284710665, 0.17168917670556805, 0.08333318075618494, 0.04166666666666675, 0.3295857830244738]"
red,CP3A,School,Friday,[21.14285714285714],[47.1938785510204],[1.0]
red,CP3A,School,Monday,[22.407407407407405],[49.278464648834],[1.0]
red,CP3A,School,Saturday,"[14.105038975720262, 5.111827109541496, 8.998213706051896, 17.27240255152144, 6.999999999999992, 10.999999999999975]","[0.8651115990258096, 0.5461587736246059, 0.67350878437954, 0.7220794011601388, 1e-06, 1e-06]","[0.1251183273412231, 0.3599653014037776, 0.24008113444481094, 0.1548843346481614, 0.0799662813026686, 0.039984620859358486]"
red,CP3A,School,Sunday,"[3.428622679137524, 7.9999999999999964, 13.99999999999997, 5.999999999999997, 9.499966627804188, 6.999999999999985]","[0.8164448639166789, 1e-06, 1e-06, 1e-06, 0.25004552097823507, 1e-06]","[0.3043538373890546, 0.2608676304484882, 0.043478260869565286, 0.26086369211301985, 0.08695845545462591, 0.043478123725246245]"
red,CP3A,School,Thursday,"[20.68566823716747, 31.99999999999993, 6.499999999999997, 26.67921516285331, 41.99999999999991, 36.66666819446284]","[1.9177334779815367, 1e-06, 2.2500010000000485, 3.4706791865638746, 1e-06, 0.22222271295449]","[0.36201751116546527, 0.03703375034693097, 0.07407407407407414, 0.37872679165240924, 0.037037037037037104, 0.11111083572408323]"
red,CP3A,School,Tuesday,"[25.613382074057686, 5.314343558040161]","[20.998289436906592, 6.868965033851336]","[0.889501579007429, 0.11049842099257096]"
red,CP3A,School,Wednesday,[25.814814814814813],[20.224966706447187],[1.0]
red,CP4,Exam,Friday,"[9.999999999999979, 14.999999999999966, 5.999999999999987, 7.999999999999982, 4.999999999999989]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP4,Exam,Monday,"[13.99999999999997, 5.999999999999987, 10.999999999999975, 2.9999999999999933, 8.99999999999998]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP4,Exam,Saturday,"[7.999999999999982, 2.9999999999999933, 6.999999999999992, 4.999999999999989, 8.99999999999998]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.16666666666666674, 0.16666666666666674, 0.3333333333333331, 0.16666666666666674, 0.16666666666666674]"
red,CP4,Exam,Sunday,"[5.999999999999994, 11.999999999999973, 3.999999999999991, 7.999999999999982, 6.999999999999985]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.3333333333333331, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674, 0.16666666666666674]"
red,CP4,Exam,Thursday,"[13.99999999999997, 7.999999999999982, 16.99999999999996, 9.999999999999979, 6.999999999999985]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP4,Exam,Tuesday,"[10.999999999999975, 3.999999999999991, 12.999999999999972, 9.999999999999979, 4.999999999999989]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP4,Exam,Wednesday,"[8.99999999999998, 2.9999999999999933, 12.999999999999972, 5.999999999999987, 7.999999999999982]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP4,Holiday,Friday,[8.374999999999998],[9.484375999999997],[1.0]
red,CP4,Holiday,Monday,"[8.999999999999993, 12.143582095464836, 7.999999999999994, 14.44443141203008, 10.510210156657715, 6.666718561255095]","[1e-06, 0.14717450903986543, 1e-06, 0.32109722436954613, 0.2716376953810975, 0.22228378887297492]","[0.1304274044659054, 0.25782780571696334, 0.13042970376837335, 0.0902984200046474, 0.2605768076114826, 0.1304398584326279]"
red,CP4,Holiday,Saturday,"[5.700057979218545, 8.701342387487504, 0.9999999999999978, 12.999999999999972, 6.9999999999999964, 10.527611601201878]","[0.2100749306326485, 0.26325370683592164, 1e-06, 1e-06, 1e-06, 0.27155699753851614]","[0.3846315055029597, 0.23631583355377084, 0.03846153846153853, 0.038461536750657756, 0.2307524885228916, 0.07137709720818158]"
red,CP4,Holiday,Sunday,"[8.554766343191211, 3.0942312203727385, 15.999999999999982, 6.587148788380921, 12.999999999999986, 10.999999999999988]","[0.2625521835935706, 1.7449201471553315, 1e-06, 0.28262311458597567, 1e-06, 1e-06]","[0.3174235670512392, 0.14728969748474538, 0.0714285714285715, 0.32100102805630215, 0.07142857142857145, 0.07142856455057042]"
red,CP4,Holiday,Thursday,"[13.608829318487162, 7.999999999999996, 6.250297291201526, 10.772752974573098, 16.99999999999996, 2.999999999999993]","[1.1272818532357338, 1e-06, 0.6880695087614215, 0.27237216585864654, 1e-06, 1e-06]","[0.2818115830918412, 0.16664494219225703, 0.16669163957448074, 0.3015200888328144, 0.041665172769120976, 0.04166657353948561]"
red,CP4,Holiday,Tuesday,"[8.303796104140748, 13.999999999999991, 6.398508536900317, 12.60005943276906, 9.999999999999995, 15.333274502295925]","[0.25961873356927684, 1e-06, 0.24892867033772104, 0.24008854055047235, 1e-06, 0.22230655497705976]","[0.12710245396855166, 0.16665462336878517, 0.2062316857746406, 0.2083410483185081, 0.16666585992981245, 0.12500432863970218]"
red,CP4,Holiday,Wednesday,"[12.239039782680711, 14.55825149994003, 8.999999999999996, 17.66667962447748, 5.999999999999987, 9.999999999999995]","[0.18232721389030332, 0.2635479553612676, 1e-06, 0.22221950212659938, 1e-06, 1e-06]","[0.1642192565475649, 0.29411654427971, 0.16666666666666652, 0.1249975329599823, 0.041666666666666734, 0.20833333287940958]"
red,CP4,School,Friday,"[11.528824804177995, 5.7953090930730005, 8.702415581408129, 13.780440399254248, 9.999999999999996]","[0.2878753011683187, 0.7758172513672534, 0.2105818761085363, 0.17159385073238553, 1e-06]","[0.29132294837029543, 0.29148298531731337, 0.10137610834047099, 0.13725941142681825, 0.17855854654510192]"
red,CP4,School,Monday,"[6.999999999999992, 14.693048971499984, 11.999999999999996, 3.999999999999991, 8.847532190654118]","[1e-06, 9.117724249891868, 1e-06, 1e-06, 0.39489261090142697]","[0.07406487711144015, 0.5233604805673884, 0.2591419040859241, 0.03703668460507105, 0.10639605363017632]"
red,CP4,School,Saturday,[7.833333333333332],[13.888889888888889],[1.0]
red,CP4,School,Sunday,"[8.495393220430374, 13.376046052927844, 9.999999999999993, 14.999999999999984, 6.7805553748797465, 11.623954638408991]","[0.27475299125784414, 0.2826322099967414, 1e-06, 1e-06, 0.2249675953227499, 0.28265729556213587]","[0.17129364041380238, 0.21739423866581797, 0.1304260426598997, 0.08695294473158936, 0.17653830117079997, 0.21739483235809068]"
red,CP4,School,Thursday,"[10.815317385634978, 17.22062293483364, 4.9999999999999885, 11.999999999999998, 14.334749197578459, 8.568742938027242]","[0.1506658564045952, 2.6825386597757173, 1e-06, 1e-06, 0.9513542523484456, 0.33714450316804007]","[0.18124553419832617, 0.12764559857951335, 0.037037037036538864, 0.2592353302275189, 0.31721095437935276, 0.07762554557874984]"
red,CP4,School,Tuesday,"[12.714328570873468, 9.999999999999993, 16.199783533029905, 13.999999999999998, 8.999999999999993, 10.999999999999993]","[0.20416482010120723, 1e-06, 0.5606265725211265, 1e-06, 1e-06, 1e-06]","[0.25925999629157415, 0.11111111110273167, 0.18519820193824257, 0.22220889811775912, 0.11111111111111113, 0.11111068143858131]"
red,CP4,School,Wednesday,"[14.89787369168049, 9.608966683897261, 11.999999999999993]","[5.080075968122905, 0.8757317605614839, 1e-06]","[0.5644986613939831, 0.2504393304654852, 0.18506200814053184]"
red,CP5,Exam,Friday,"[16.99999999999996, 5.999999999999987, 8.99999999999998, 18.999999999999957]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
red,CP5,Exam,Monday,"[14.999999999999984, 30.999999999999932, 0.9999999999999978]","[1e-06, 1e-06, 1e-06]","[0.49999999999999967, 0.2500000000000001, 0.2500000000000001]"
red,CP5,Exam,Saturday,"[5.999999999999994, 15.999999999999964, 9.999999999999979]","[1e-06, 1e-06, 1e-06]","[0.49999999999999967, 0.2500000000000001, 0.2500000000000001]"
red,CP5,Exam,Sunday,"[0.9999999999999989, 3.999999999999991, 1.9999999999999956]","[1e-06, 1e-06, 1e-06]","[0.49999999999999967, 0.2500000000000001, 0.2500000000000001]"
red,CP5,Exam,Thursday,"[13.99999999999997, 23.999999999999947, 18.999999999999957, 15.999999999999964]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
red,CP5,Exam,Tuesday,"[23.999999999999947, 3.999999999999991, 15.999999999999964, 20.999999999999954]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
red,CP5,Exam,Wednesday,"[20.999999999999954, 9.999999999999979, 18.999999999999957, 21.99999999999995]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.25, 0.25, 0.25, 0.25]"
red,CP5,Holiday,Friday,"[8.333339003609957, 15.999999999999982, 9.999999999999993, 17.99999999999998, 13.999999999999984, 11.499958736263531]","[0.22223389616766365, 1e-06, 1e-06, 1e-06, 1e-06, 0.25006470393805785]","[0.2000004130393298, 0.13333333333333336, 0.26666288109191605, 0.13333333333333336, 0.13333333233685996, 0.1333367068652275]"
red,CP5,Holiday,Monday,"[16.24995727988306, 1.9999999999999956, 11.664961071202905, 6.3352400811728025, 14.999999999999995]","[0.18755133956668144, 1e-06, 0.8968414663388783, 1.5674543625505455, 1e-06]","[0.23530053706107545, 0.05882317898216888, 0.17646791396848324, 0.17647600604816346, 0.3529323639401089]"
red,CP5,Holiday,Saturday,"[2.000000007124257, 5.999999999999993, 9.999999999999979, 7.999999999999991, 4.999999999999997, 6.999999999999985]","[0.33333435391479155, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.3750000008905239, 0.12499999999997555, 0.06250000000000008, 0.12500000000000003, 0.24999999910950046, 0.06250000000000008]"
red,CP5,Holiday,Sunday,"[1.9999999999999996, 4.999999999999989, 6.999999999999985, 2.999999999999999, 0.9999999999999989, 3.999999999999991]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.4444444444444442, 0.055555555555555636, 0.055555555555555636, 0.2777777777777777, 0.11111111111111115, 0.055555555555555636]"
red,CP5,Holiday,Thursday,"[11.627496469741127, 20.190978289733117, 0.9999999999999978]","[7.198294649806083, 2.4112007216173366, 1e-06]","[0.6529482724163341, 0.28822828579953935, 0.058823441784126476]"
red,CP5,Holiday,Tuesday,"[15.249954285691441, 7.666666665975934, 12.000043962589451, 18.499957558794772, 13.999999999999984, 16.99999999999996]","[0.18755960273696196, 0.22222322260854713, 0.4001068522395071, 0.250067265142648, 1e-06, 1e-06]","[0.23530028462882233, 0.1764705878489409, 0.29412278368794703, 0.11765010276207266, 0.11763548369866329, 0.058820757373553544]"
red,CP5,Holiday,Wednesday,"[14.595321993463306, 6.400000180365707, 22.999999999999975, 18.50000000001271, 9.999999999999977, 12.512487166373601]","[0.2504494758199466, 0.6400016173903927, 1e-06, 0.2500010002283191, 1e-06, 0.27444899097958647]","[0.29407290102284056, 0.2941176617926208, 0.11764705882352947, 0.11764705880710327, 0.05882351285885186, 0.11769180669505408]"
red,CP5,School,Friday,"[14.999999999999984, 6.597864188514287, 10.031068034257535, 2.9999999999999933, 16.999999999999986, 12.499313584790219]","[1e-06, 1.5136735023161687, 0.6391843172085051, 1e-06, 1e-06, 0.2783987384872129]","[0.12499999712324553, 0.25686336949677263, 0.24662486832772776, 0.062497270598292014, 0.1875, 0.12151449445396222]"
red,CP5,School,Monday,"[8.038282477603842, 15.999999999999964, 0.9999999999999978, 11.673158110096649, 13.999999999999984]","[1.301295527472069, 1e-06, 1e-06, 0.22001810877143793, 1e-06]","[0.33755834545972485, 0.06666666666666227, 0.06666666666551077, 0.3957749920121594, 0.13333332919594276]"
red,CP5,School,Saturday,"[1.999999999999999, 7.999999999999991, 5.4999666420520645, 2.999999999999998, 3.999999999999997, 0.9999999999999978]","[1e-06, 1e-06, 0.25004556577019, 1e-06, 1e-06, 1e-06]","[0.26666666666666045, 0.13333333233769537, 0.13333630054107237, 0.19999999900369828, 0.19999703478420683, 0.06666666666666676]"
red,CP5,School,Sunday,"[3.9999999999999956, 1.9999999999999984, 7.999999999999991, 0.9999999999999992, 2.999999999999998]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.15384615384615388, 0.23076923076923075, 0.15384615384615388, 0.23076923076923075, 0.23076923076923075]"
red,CP5,School,Thursday,"[15.999999999999988, 10.999999999999991, 8.500000018634355, 13.333288268626905, 14.99999999999999, 11.999999999999973]","[1e-06, 1e-06, 0.250001044722638, 0.2222942796661274, 1e-06, 1e-06]","[0.19999999995203904, 0.1999999969672368, 0.13333333432716368, 0.20000860430088768, 0.19999917969358486, 0.06665888475908792]"
red,CP5,School,Tuesday,"[21.999999999999954, 13.286603588016302, 0.9999999999999978, 18.25091461698995, 3.999999999999991]","[1e-06, 3.0963352699977706, 1e-06, 0.18797141622264996, 1e-06]","[0.06666666524152856, 0.537314915039729, 0.06666666666665902, 0.262685086655432, 0.06666666639665131]"
red,CP5,School,Wednesday,"[22.99999999999995, 10.999999999999975, 8.399999973151763, 18.99999307641805, 12.999978017161265, 5.999999999999986]","[1e-06, 1e-06, 0.24000107927591408, 1.000045745594061, 0.400039000586633, 1e-06]","[0.06666662192412583, 0.06666311295318185, 0.33333333758367734, 0.13333359834432382, 0.33333666670884876, 0.0666666624858424]"
red,CP5B,Exam,Friday,"[30.999999999999932, 10.999999999999975, 17.99999999999996, 25.999999999999943, 29.999999999999932]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP5B,Exam,Monday,"[24.999999999999982, 0.9999999999999978, 25.999999999999943]","[1e-06, 1e-06, 1e-06]","[0.5999999999999996, 0.20000000000000015, 0.20000000000000015]"
red,CP5B,Exam,Saturday,"[0.9999999999999989, 9.999999999999979, 2.999999999999998]","[1e-06, 1e-06, 1e-06]","[0.3333333333333333, 0.16666666666666685, 0.4999999999999998]"
red,CP5B,Exam,Sunday,"[3.999999999999991, 0.9999999999999996, 1.9999999999999956]","[1e-06, 1e-06, 1e-06]","[0.16666666666666688, 0.6666666666666664, 0.16666666666666688]"
red,CP5B,Exam,Thursday,"[18.99999999999998, 27.99999999999994, 15.999999999999964, 20.999999999999954]","[1e-06, 1e-06, 1e-06, 1e-06]","[0.39999999999999974, 0.2000000000000001, 0.2000000000000001, 0.2000000000000001]"
red,CP5B,Exam,Tuesday,"[24.999999999999943, 0.9999999999999978, 34.99999999999992, 19.999999999999957, 21.99999999999995]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP5B,Exam,Wednesday,"[16.99999999999996, 23.999999999999947, 29.999999999999932, 18.999999999999957, 20.999999999999954]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP5B,Holiday,Friday,"[18.849657538335055, 31.378388675967575, 0.9999999999999978, 23.222854543208065, 5.999999999999987]","[5.002853203668443, 9.189963323919477, 1e-06, 3.9129920726796157, 1e-06]","[0.3556818702796915, 0.18611291429317378, 0.041666666666666734, 0.3748718821008878, 0.041666666659580125]"
red,CP5B,Holiday,Monday,"[21.20727191762045, 3.50009561346708, 30.51421805360858, 23.999999999999986]","[10.202492030515707, 5.2535715430452266, 2.4319153589192735, 1e-06]","[0.5070166205993655, 0.1666577718770244, 0.1597676448809442, 0.16655796264266592]"
red,CP5B,Holiday,Saturday,"[5.999999999999994, 1.9999999999999993, 3.9999999999999982, 2.9999999999999987, 0.9999999999999992, 4.999999999999995]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.09523809523809527, 0.2857142857142856, 0.19047619047619044, 0.19047619047619044, 0.14285714285714288, 0.09523809523809527]"
red,CP5B,Holiday,Sunday,"[1.9999999999999996, 3.9999999999999956, 0.9999999999999997, 2.999999999999999, 4.999999999999989]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.33333333333333326, 0.0952380952380953, 0.28571428571428564, 0.23809523809523805, 0.0476190476190477]"
red,CP5B,Holiday,Thursday,"[34.99999999999992, 23.561357679267473, 10.999999999999975, 26.999999999999986, 1.9999999999999956, 18.76243407384918]","[1e-06, 1.0537998011466614, 1e-06, 1e-06, 1e-06, 4.859749360924678]","[0.04166666666666662, 0.43652579404255826, 0.041666395282369206, 0.12499818724027532, 0.04166666666666671, 0.3134762901014639]"
red,CP5B,Holiday,Tuesday,[23.791666666666664],[44.24826488888888],[1.0]
red,CP5B,Holiday,Wednesday,"[25.08862876997074, 10.50656319398945]","[9.296192316488826, 6.358831638631871]","[0.9167725063608441, 0.08322749363915599]"
red,CP5B,School,Friday,[22.888888888888886],[53.506173839506175],[1.0]
red,CP5B,School,Monday,"[30.016341252521986, 23.204518705981254, 1.4999899284569238, 50.999999999999886]","[12.160781828527037, 23.461964963790074, 0.2500009998985637, 1e-06]","[0.39196333494853053, 0.49692894081161576, 0.0740706872086541, 0.037037037031199475]"
red,CP5B,School,Saturday,"[1.9999999999999993, 18.999999999999957, 4.999999999999997, 6.999999999999984, 5.999999999999995, 3.3332882924417073]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 0.2222942263790225]","[0.3809468224508309, 0.047619047619047686, 0.23809465216271525, 0.047619047619047665, 0.14285714282288517, 0.14286328732547346]"
red,CP5B,School,Sunday,"[3.9999999999999987, 1.9999999999999993, 7.999999999999982, 0.9999999999999997, 2.999999999999998, 4.999999999999995]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2272727272727272, 0.27272727272727265, 0.045454545454545525, 0.2272727272727272, 0.13636363636363638, 0.09090909090909095]"
red,CP5B,School,Thursday,"[22.752975935976085, 33.99999999999997, 8.009699385616925, 38.99999274681014, 30.004762517818897, 18.825008349495793]","[4.292386297749819, 1e-06, 4.083010228979594, 2.0000357122649657, 0.7997973976766033, 5.615953730887932]","[0.29905487013469384, 0.11111094984257812, 0.07409199171016004, 0.11111126873037515, 0.18417676284940848, 0.2204541567327843]"
red,CP5B,School,Tuesday,"[26.999998565348832, 3.999999999999991]","[33.36003191610675, 1e-06]","[0.9615385215155204, 0.03846147848447947]"
red,CP5B,School,Wednesday,[25.407407407407405],[46.83402020438957],[1.0]
red,CP6B,Exam,Friday,"[114.99999999999974, 68.99999999999984, 105.99999999999976, 79.99999999999983, 106.99999999999976]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
red,CP6B,Exam,Monday,"[10.999999999999975, 87.9999999999998, 108.99999999999976, 125.99999999999972, 102.99999999999977]","[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]","[0.2, 0.2, 0.2, 0.2, 0.2]"
